Manufacturer,Stock Code,Shaft Size,Outer Diameter,Compatible On,,,,,
Heidelberg/Stahl,PD-DEL-ST/25-FP,25mm,44mm,,,,,,
Heidelberg/Stahl,PD-DEL-ST/50-FP,50mm,75mm,,,,,,
Heidelberg/Stahl,PD-ST/MAILER-FP,8mm,48mm,,,,,,
Heidelberg/Stahl,SHC-04,35mm,58mm,,,,,,
Heidelberg/Stahl,SHC-ADJ/04-FP,35mm,58mm,,,,,,
Heidelberg/Stahl,SHC-STA-ADJ/04-FP,35mm,58mm,,,,,,
Heidelberg/Stahl,SHC-ST/25-01,25mm,44mm,,,,,,
Heidelberg/Stahl,SHC-STA-ADJ/25-FP,25mm,44mm,,,,,,
Heidelberg/Stahl,MT-02/PERF-OPTION-1,35mm Exit Shaft,58mm,Heidelberg/Stahl (Machines with widths between 56-80cms),,,,,
Heidelberg/Stahl,MT-02/PERF-OPTION-1,35mm Exit Shaft,58mm,Heidelberg/Stahl (Machines with widths between 56-80cms),,,,,
Heidelberg/Stahl,MT-03/PERF-OPTION-1,25mm Exit Shaft,44mm,Heidelberg/Stahl (Machines with widths between 47 & 55cms),,,,,
Heidelberg/Stahl,MT-03/PERF-OPTION-1,25mm Exit Shaft,44mm,Heidelberg/Stahl (Machines with widths between 47 & 55cms),,,,,
Heidelberg/Stahl,MT-MB/PERF-OPTION-1,20mm Exit Shaft,40mm,Heidelberg/Stahl (Heidelberg TA 52),,,,,
Heidelberg/Stahl,MT-02/CUTTING-OPTION-2,35mm Exit Shaft,58mm,Heidelberg/Stahl (Machines with widths between 56-80cms),,,,,
Heidelberg/Stahl,MT-03/CUTTING-OPTION-2,25mm Exit Shaft,44mm,Heidelberg/Stahl (Machines with widths between 47-55cms),,,,,
Heidelberg/Stahl,MT-MB/CUTTING-OPTION-2,20mm Exit Shaft,40mm,Heidelberg/Stahl (Heidelberg TA 52),,,,,
Heidelberg/Stahl,MT-02/COMBO,35mm Exit Shaft,58mm,Heidelberg/Stahl (Machines with widths between 56-80cms),,,,,
Heidelberg/Stahl,MT-02/COMBO-FIX,35mm Exit Shaft,58mm,Heidelberg/Stahl (Machines with widths between 56-80cms),,,,,
Heidelberg/Stahl,MT-02/COMBO-01,35mm Exit Shaft,58mm,Heidelberg/Stahl (Machines with widths between 56-80cms),,,,,
Heidelberg/Stahl,MT-02/COMBO-FIX-01,35mm Exit Shaft,58mm,Heidelberg/Stahl (Machines with widths between 56-80cms),,,,,
Heidelberg/Stahl,MT-02/COMBO-01B,35mm Exit Shaft,58mm,Heidelberg/Stahl (Machines with widths between 56-80cms),,,,,
Heidelberg/Stahl,MT-02/COMBO-FIX-01B,35mm Exit Shaft,58mm,Heidelberg/Stahl (Machines with widths between 56-80cms),,,,,
Heidelberg/Stahl,MT-03/COMBO,25mm Exit Shaft,44mm,Heidelberg/Stahl (Machines with widths between 47 & 55cm),,,,,
Heidelberg/Stahl,MT-03/COMBO-FIX,25mm Exit Shaft,44mm,Heidelberg/Stahl (Machines with widths between 47 & 55cm),,,,,
Heidelberg/Stahl,MT-03/COMBO-01,25mm Exit Shaft,44mm,Heidelberg/Stahl (Machines with widths between 47 & 55cm),,,,,
Heidelberg/Stahl,MT-03/COMBO-FIX-01,25mm Exit Shaft,44mm,Heidelberg/Stahl (Machines with widths between 47 & 55cm),,,,,
Heidelberg/Stahl,MT-02,35mm Exit Shaft,58mm,Heidelberg/Stahl (Machines with widths between 56-80cms),,,,,
Heidelberg/Stahl,MT-03,25mm Exit Shaft,44mm,Heidelberg/Stahl (Machines with widths between 47 & 55cm),,,,,
Heidelberg/Stahl,MT-MB,20mm Exit Shaft,40mm,Heidelberg/Stahl (Heidelberg TA 52),,,,,
Heidelberg/Stahl,MT-CR/25-CAS,25mm Exit Shaft,44mm,N/A,,,,,
Heidelberg/Stahl,MT-CR/25-CAS-01,25mm Exit Shaft,44mm,N/A,,,,,
Heidelberg/Stahl,MT-CR/35-CAS,35mm Exit Shaft,58mm,N/A,,,,,
Heidelberg/Stahl,MT-CR/35-CAS-FIX,35mm Exit Shaft,58mm,N/A,,,,,
Heidelberg/Stahl,MT-CR/35-CAS-01,35mm Exit Shaft,58mm,N/A,,,,,
Heidelberg/Stahl,EF-SM/35-DSF,35mm Exit Shaft,58mm,Stahl Machines with widths from 56-80cm,,,,,
Heidelberg/Stahl,EF-SM/35-FP-DSF-01-B,35mm Exit Shaft,58mm,Stahl & MBO Folding Machines with widths from 56 - 80cm,,,,,
Heidelberg/Stahl,EF-ST/25-DSF,25mm Exit Shaft,44mm,Machines with widths between 47 & 55cms,,,,,
Heidelberg/Stahl,EF-ST/25-FP-DSF-01-B,25mm Exit Shaft,44mm,Machines with widths between 47 & 55cms,,,,,
Heidelberg/Stahl,FF-SM/35-DSF,35mm Exit Shaft,58mm,Stahl & MBO Machines with widths 56 - 80cms,,,,,
Heidelberg/Stahl,FF-SM/35-FP-DSF-01-B,35mm Exit Shaft,58mm,Stahl & MBO Folding Machines with widths from 56 - 80cm,,,,,
Heidelberg/Stahl,FF-SM/35-LG-DSF,35mm Exit Shaft,58mm,Stahl & MBO Machines with widths 56 - 80cms,,,,,
Heidelberg/Stahl,FF-ST/25-DSF,25mm Exit Shaft,44mm,Machines with widths between 47 & 55cms,,,,,
Heidelberg/Stahl,FF-ST/25-FP-DSF-01-B,25mm Exit Shaft,44mm,Machines with widths between 47 & 55cms,,,,,
Herzog & Heymann,CP-AP-HH/35-FP,35mm,58.25mm,,,,,,
Herzog & Heymann,EF-HH/67.5-FP,50mm,67.5mm,,,,,,
Herzog & Heymann,EF-HH/67.5-FP-01,45mm,67.5mm,,,,,,
Herzog & Heymann,EF-HH/67.5-FP-02,45mm,67.5mm,,,,,,
Herzog & Heymann,EF-HH/25-FP,25mm,36.56mm,,,,,,
Herzog & Heymann,EF-HH/30-FIX,30mm,46mm,,,,,,
Herzog & Heymann,EF-HH/35-FP,35mm,58.27mm,,,,,,
Herzog & Heymann,FF-HH/20-FIX,20mm,32mm,,,,,,
Herzog & Heymann,FF-HH/25-FIX-01-B,25mm,36.56mm,,,,,,
Herzog & Heymann,FF-HH/30-FIX-01,30mm,46mm,,,,,,
Herzog & Heymann,FF-HH/35-FP-01,35mm,58.25mm,,,,,,
Herzog & Heymann,FF-HH/40-FIX,40mm,58.25mm,,,,,,
Herzog & Heymann,FF-HH/46-FIX,30mm,46mm,,,,,,
Herzog & Heymann,PD-DEL-HH/30-FP,30mm,46mm,,,,,,
Herzog & Heymann,PD-DEL-HH/35-FP,35mm,58.27mm,,,,,,
Herzog & Heymann,MT-HH/30/PERF-OPTION-1,30mm Exit Shaft,46mm,N/A,,,,,
Herzog & Heymann,MT-HH/30/PERF-OPTION-1,30mm Exit Shaft,46mm,N/A,,,,,
Herzog & Heymann,MT-HH/35/PERF-OPTION-1,35mm Exit Shaft,58.27mm,N/A,,,,,
Herzog & Heymann,MT-HH/35/PERF-OPTION-1,35mm Exit Shaft,58.27mm,N/A,,,,,
Herzog & Heymann,MT-HH/30/CUTTING-OPTION-2,30mm Exit Shaft,46mm,N/A,,,,,
Herzog & Heymann,MT-HH/35/CUTTING-OPTION-2,35mm Exit Shaft,58.25mm,N/A,,,,,
Herzog & Heymann,MT-HH/40/CUTTING-OPTION-2,40mm Exit Shaft,58.27mm,Herzog & Heymann (Herzog & Heymann Folding Machines with 40mm exit shafts),,,,,
Herzog & Heymann,MT-HH/45/CUTTING-OPTION-2,45mm Exit Shaft,67.47mm,N/A,,,,,
Herzog & Heymann,MT-HH/30,30mm Exit Shaft,46mm,N/A,,,,,
Herzog & Heymann,MT-HH/30,30mm Exit Shaft,46mm,N/A,,,,,
Herzog & Heymann,MT-HH/35,35mm Exit Shaft,58.27mm,N/A,,,,,
Herzog & Heymann,MT-HH/35,35mm Exit Shaft,58.25mm,N/A,,,,,
Herzog & Heymann,FF-HH/35-DSF,35mm Exit Shaft,58.27mm,N/A,,,,,
Herzog & Heymann,FF-HH/35-FP-DSF-01-B,35mm Exit Shaft,58.27mm,N/A,,,,,
Hohner,SC-HO-01,N/A,N/A,Hohner HSB 8000 Cover Feeder,,,,,
Hohner,SC-HO-02,N/A,N/A,Hohner HSB 10000-S Cover Feeder,,,,,
Horizon,CP-AP-HO/20-FP,20mm,50mm top/51mm bottom,,,,,,
Horizon,CP-AP-MF/30-FP,30mm,50mm,,,,,,
Horizon,EF-HO/25-FP,24.81mm,40mm,,,,,,
Horizon,EF-HO/30-FP,30mm,48mm,,,,,,
Horizon,EF-HO/50-FP,20mm,50mm,,,,,,
Horizon,EF-HO/65-FP,29.84mm,65mm,,,,,,
Horizon,EF-MF/30-FP,30mm,50mm,,,,,,
Horizon,HO-GB-01,20mm,50mm,,,,,,
Horizon,GB-MF/30-FP,30mm,50mm,,,,,,
Horizon,FF-HO/40.2-FP-01,24.8mm,40.2mm,,,,,,
Horizon,FF-HO/50-FP,20mm,Top: 51mm / Bottom: 50mm,,,,,,
Horizon,FF-HO/50-FP-B,20mm,Top: 51mm / Bottom: 50mm,,,,,,
Horizon,FF-HO/65-FP,29.84mm,65mm,,,,,,
Horizon,FF-MF/30-FP-01,30mm,50mm,,,,,,
Horizon,PD-DEL-HO/20-FP,20mm,50mm,,,,,,
Horizon,PD-DEL-MF/30-FP,30mm,50mm,,,,,,
Horizon,SHC-ADJ-MF/30-FP,30mm,50mm,,,,,,
Horizon,SHC-MF/30-01,30mm,50mm,,,,,,
Horizon,SC-HOR/25-FP-DSF-01,N/A,N/A,Horizon StitchLiner MkIII Machines,,,,,
Horizon,SC-HOR/25-FP,N/A,N/A,Horizon StitchLiner Models 5500 & 6000,,,,,
Horizon,QC-DEL-MPB/30-FP-5,30mm,50mm,Muller Martini Perfect Binders with Fixed Hinge,,,,,
Horizon,QC-HO-2S/25-FP-6,25mm,44mm,Horizon BQ models 470, 480 & 500,,,,
Horizon,MT-04/PERF-OPTION-1,30mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-04/PERF-OPTION-1,30mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-HO/PERF-OPTION-1,20mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-04/CUTTING-OPTION-2,30mm Exit Shaft,50mm,N/A,,,,,
