Product Code,Description,Sales Price,Last Cost Price (Std)
TECH442,Wohlenberg Quad Creaser with 5mm Hinge,0.00,524.31
TECH441,Web Spine & Hinge Fixed at 6mm,0.00,313.00
TECH440,GUK Gripper Rollers,0.00,47.31
TECH439,Creasing Cassette MBO 40mm,0.00,81.32
TECH438,Bottom Shaft Creasing Units Quad Creaser 79.75. A pair,0.00,211.94
TECH437,Kolbus Adjustable 94mm Support Rollers,0.00,393.57
TECH435,Kongsberg Creasing Unit,0.00,156.90
TECH434,CSJ - 7 Groove Females,0.00,31.38
TECH433M,MB 20mm Fast Fit No Lugs Male Only,0.00,43.33
TECH433FPNC,Card Creaser Female 20mm.(2 per set),0.00,19.21
TECH433,MB 20mm Fast Fit with no lugs,0.00,51.87
TECH432F,GUK 35mm (59.4) Fixed Female,0.00,33.44
TECH432,GUK 35mm Fast Fit without lugs with Fixed Female,0.00,61.79
TECH431,Kongsberg XY Plotter O/D 50mm Micro-Perf,0.00,156.90
TECH430,CSM-Shaft Locking Collar Right,62.00,0.00
TECH429,CSM - Mini Bearings. Shaft Locking System,92.00,25.24
TECH425,26mm Kolbus Easy Binder 5mm Fixed Hinge,0.00,74.56
TECH423,Longford fast Fit,0.00,109.05
TECH422,Muller 2 Shaft Panda 1 with 7.5mm fixed Hinge,0.00,551.93
TECH421SR,Morgana support Rollers,0.00,25.80
TECH421M,"Morgana N/S Holder X2 black nylon, X1 Blue nylon + screws",0.00,59.70
TECH421B,Micro Perf Nylon Sleeve Morgana Blue,0.00,0.00
TECH421A,Micro-Perf Nylon sleeve Morgana Black,0.00,0.00
TECH421,Morgana Micro Perf,0.00,228.54
TECH420,Kiss Cutting Anvils USA,0.00,25.68
TECH419,De-lux/Easy Fit to fit Pierce exit Shaft,0.00,79.53
TECH418,Fast Fit 35mm Tri-Creaser,0.00,111.20
TECH417,25mm Adjustable & Vee Groove,0.00,100.10
TECH416,Kolbus 93.80 Adjustable,0.00,980.90
TECH415,Wizard MK3,0.00,125.83
TECH414,25mm 3-8mm Spine & Hinge Creaser. Fixed Females,0.00,113.79
TECH413,Micro-Perf Blade Holders- CSJ 30mm,0.00,35.45
TECH412,Wohlenberg Quad Creaser with 5mm Hinge,0.00,505.20
TECH411,UB Binder Goss,0.00,277.54
TECH410,Zander 2 Tri-Creaser,0.00,222.50
TECH409,Mark Andy Male Mod.,0.00,136.58
TECH408F,Tech 408 Females Only,0.00,25.50
TECH408,25mm Fast Fit Fixed Female (without lugs),0.00,59.62
TECH407R/HBOLT,Right hand  threaded Bolt for Muller spine Creaser 1554,0.00,14.19
TECH407,Muller Spine Creaser 0554.04,0.00,221.82
TECH406T,Muller Panda Male/Female Top shaft only (pair),0.00,128.03
TECH406,Muller Panda Version 2,0.00,638.48
TECH404F,Creasing Female for Mini,0.00,18.48
TECH404EXM,Creasing Rib/Nylon Sleeve Holder for Mini,0.00,31.14
TECH404,CreaseStream Mini Fast Fit 25mm I/D 44mm O/D,0.00,34.04
TECH403,CreaseStream Mini Spine & Hinge Creaser,0.00,80.97
TECH402BH-MOD,Reduced Blade Holder 42mm O/D,0.00,35.49
TECH402BH,Blade Holder Only CSM Micro-Perforator,0.00,34.97
TECH402,CreaseStream Mini Micro-Perforator 25mm I/D 44mm O/D,0.00,37.16
TECH401,CreaseStream Plus 35mm Blade Holder,0.00,27.86
TECH400,"Kolbus 114mm , NO Plastics",0.00,1990.41
TECH399,Quad Creaser for Muller Signa - Roller Only (pair),0.00,33.04
TECH398T,25mm Support Roller Top Only with gripper bands,0.00,14.24
