Product Code,Description,Sales Price,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Last Order Date
FF-DSF/35-NY-R,Tri-Creaser Advance Red Female Receiver Ring,42,9.58,consumable,Female Receiver Ring,77.2,27.81,66.2,,,27.81,66.2,29/01/2025
FF-DSF/35-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,42,9.49,consumable,Female Receiver Ring,77.4,27.81,66.2,,,27.81,66.2,29/01/2025
FF-DSF/30-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,42,9.49,consumable,Female Receiver Ring,77.4,27.81,66.2,,,27.81,66.2,22/04/2025
FF-DSF/30-NY-W,Tri-Creaser Advance White Female Receiver Ring,42,14.91,consumable,Female Receiver Ring,64.5,27.81,66.2,,,27.81,66.2,08/05/2024
FF-DSF/30-NY-R,Tri-Creaser Advance Red Female Receiver Ring,42,9.54,consumable,Female Receiver Ring,77.3,27.81,66.2,,,27.81,66.2,22/04/2025
FF-DSF/30-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,42,9.49,consumable,Female Receiver Ring,77.4,27.81,66.2,,,27.81,66.2,22/04/2025
FF-DSF/25-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,42,11.26,consumable,Female Receiver Ring,73.2,27.81,66.2,,,27.81,66.2,14/10/2025
FF-DSF/25-NY-W,Tri-Creaser Advance White Female Receiver Ring,42,7.63,consumable,Female Receiver Ring,81.8,27.81,66.2,,,27.81,66.2,31/05/2024
FF-DSF/25-NY-R,Tri-Creaser Advance Red Female Receiver Ring,42,11.29,consumable,Female Receiver Ring,73.1,27.81,66.2,,,27.81,66.2,14/10/2025
FF-DSF/25-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,42,8.2,consumable,Female Receiver Ring,80.5,27.81,66.2,,,27.81,66.2,14/10/2025
FF-DSF/20-MB-NY-Y,MB 20mm Double Score Female Creasing Ring. Yellow,42,9.31,consumable,Female Receiver Ring,77.8,27.81,66.2,,,27.81,66.2,25/11/2025
FF-DSF/20-MB-NY-W,MB 20mm Double Score Female Narrow Creasing Ring. White,42,7.54,consumable,Female Receiver Ring,82,27.81,66.2,,,27.81,66.2,25/02/2025
FF-DSF/20-MB-NY-R,MB 20mm Double Score Female Creasing Ring. Red,42,9.01,consumable,Female Receiver Ring,78.5,27.81,66.2,,,27.81,66.2,25/11/2025
FF-DSF/20-MB-NY-B,MB 20mm Double Sore Female Creasing Ring. Blue,42,8.08,consumable,Female Receiver Ring,80.8,27.81,66.2,,,27.81,66.2,10/09/2024
FF-DSF/DU-02-NY-Y,Tri Creaser Advance Receiver Ring,0,0,consumable,Female Receiver Ring,,,,,,,,
FF-DSF/DU-02-NY-R,Tri Creaser Advance Red Receiver Ring,0,0,consumable,Female Receiver Ring,,,,,,,,
FF-DSF/DU-02-NY-B,Tri Creaser Advance Blue Receiver Ring,0,0,consumable,Female Receiver Ring,,,,,,,,
FF-DSF/BF-28-NY-Y,Tri Creaser Advance Yellow Receiver Ring,42,11.84,consumable,Female Receiver Ring,71.8,,,,,,,01/03/2023
FF-DSF/BF-28-NY-O,Tri Creaser Advance Orange Receiver Ring,42,11.87,consumable,Female Receiver Ring,71.7,,,,,,,01/03/2023
FF-DSF/BF-28-NY-B,Tri Creaser Advance Blue Receiver Ring,42,12.16,consumable,Female Receiver Ring,71,,,,,,,01/03/2023
MOULD-80,Black Gripper Band,26,1.12,consumable,Gripper Band,94.1,7.58,39.9,,,15.60,60.0,26/01/2024
MOULD-76,Black Gripper Band,26,1.12,consumable,Gripper Band,94.1,7.58,39.9,,,15.60,60.0,18/02/2025
MOULD-59,Black Gripper Band,26,1.25,consumable,Gripper Band,93.4,7.58,39.9,,,15.60,60.0,21/05/2024
MOULD-55,Black Gripper Band,26,1.07,consumable,Gripper Band,94.4,7.58,39.9,,,15.60,60.0,14/01/2026
MOULD-51,Black Gripper Band,26,1.07,consumable,Gripper Band,94.4,7.58,39.9,,,15.60,60.0,22/07/2025
MOULD-47,Black Gripper Band,26,1.07,consumable,Gripper Band,94.4,7.58,39.9,,,15.60,60.0,13/01/2026
MOULD-175,Black Gripper Band,26,1.36,consumable,Gripper Band,92.8,7.58,39.9,,,15.60,60.0,24/05/2016
MOULD-15,Black Gripper Band,26,1.36,consumable,Gripper Band,92.8,7.58,39.9,,,15.60,60.0,05/08/2025
MOULD-10,Black Gripper Band / Blade Seal,26,1.07,consumable,Gripper Band,94.4,7.58,39.9,,,15.60,60.0,08/07/2025
MOULD-83,Blue Edge-Trimming Gripper Band H&H - 30mm,26,1.36,consumable,Gripper Band,92.8,8.5,44.7,,,15.60,60.0,03/10/2025
MOULD-63,Blue Edge-Trimming Gripper Band - 20mm,26,1.08,consumable,Gripper Band,94.3,8.5,44.7,,,15.60,60.0,29/09/2015
MOULD-62,Blue Edge-Trimming Gripper Band - 30mm,26,1.08,consumable,Gripper Band,94.3,8.5,44.7,,,15.60,60.0,19/09/2024
MOULD-61,Blue Edge-Trimming Gripper Band - 25mm,26,1.07,consumable,Gripper Band,94.4,8.5,44.7,,,15.60,60.0,19/12/2024
MOULD-40,Blue Edge-Trimming Gripper Band - 35mm,26,1.36,consumable,Gripper Band,92.8,8.5,44.7,,,15.60,60.0,06/02/2025
MOULD-149,Blue Edge-Trimming Gripper Band Shoei - 55mm,26,1.81,consumable,Gripper Band,90.5,8.5,44.7,,,15.60,60.0,11/10/2021
MOULD-148,Blue Edge-Trimming Gripper Band Shoei - 65mm,26,1.81,consumable,Gripper Band,90.5,8.5,44.7,,,15.60,60.0,04/03/2014
MOULD-88BL,Blue Gripper Band,26,3.59,consumable,Gripper Band,81.1,9.72,51.2,,,15.60,60.0,19/08/2025
MOULD-88,Black Gripper Band,26,3.59,consumable,Gripper Band,81.1,9.72,51.2,,,15.60,60.0,03/04/2025
GRIP-WHITE-01,20/25mm White Gripper Bands,26,0,consumable,Gripper Band,,,,,,,,24/06/2016
GRIP-003,CSM - White Gripper Band - 25mm,26,0,consumable,Gripper Band,,,,,,,,13/01/2026
CSCC-GRIP,CS-Card-Creaser White Gripper Band 20mm,26,1,consumable,Gripper Band,,,,,,,,
CSCC,CS- CreaseStream Card- Creaser-Deluxe,1197,419.95,consumable,Machine,64.9,,,,,,,25/11/2025
CSM/GPBELT,CSM - Timing Belt for Q/F & A/F T5-270-8,40,7.75,consumable,Machine Belt,61.3,,,,,,,01/08/2025
MPB-40/4SHEET,40 tpi Micro-Perforation Blade with extra tie depth,99,29.48,consumable,Micro-Perforation Blade,54.6,32,49.2,,,59.40,60.0,25/06/2025
MPB-25/4SHEET,25 tpi Micro-Perforation Blade with extra tie depth,99,10,consumable,Micro-Perforation Blade,84.6,32,49.2,,,59.40,60.0,12/10/2022
MPB-17/4SHEET,17 tpi Micro-Perforation Blade with extra tie depth,99,28.48,consumable,Micro-Perforation Blade,56.2,32,49.2,,,59.40,60.0,25/06/2025
MPB-ST/MAILER-52,Micro-Perf Blade - 52 TPI - Stahl Mailer-Stop,99,10,consumable,Micro-Perforation Blade,84.1,32,50.8,,,59.40,60.0,09/05/2016
MPB-ST/MAILER-25,Micro-Perf Blade - 25 TPI - Stahl Mailer-Stop,99,10,consumable,Micro-Perforation Blade,84.1,32,50.8,,,59.40,60.0,22/05/2014
MPB-ST/MAILER-17,Micro-Perf Blade - 17 TPI - Stahl Mailer-Stop,99,10,consumable,Micro-Perforation Blade,84.1,32,50.8,,,59.40,60.0,21/07/2025
MPB-ROS-BA-72,72 tpi Micro-Perforation Blade,99,10.98,consumable,Micro-Perforation Blade,82.6,32,50.8,,,59.40,60.0,06/03/2023
MPB-ROS-BA-52,52 tpi Micro-Perforation Blade,99,8.5,consumable,Micro-Perforation Blade,86.5,32,50.8,,,59.40,60.0,05/08/2019
