Action Required,Product Code,Description,New Sales Price,Cost Price,Full Price Margin %,, ,New Distributor Price,Cost Price ,Distributor Margin %,  ,   ,Type,Category,    ,Distributor %
,TC-DEL-ST/50-FP,OBSELETE,878.4,11.4,98.7,,,527.04,11.4,97.8,,,tool,Deluxe Tri-Creaser,,60
,TC-DEL-ST/25-FP,"Stahl/Heidleberg, GUK De-lux Tri-Creaser-25mm I/D",878.4,127.08,85.5,,,527.04,127.08,75.9,,,tool,Deluxe Tri-Creaser,,60
,TC-DEL-SM/35-FP,Stahl/MBO De-lux Tri-Creaser - 35mm I/D,878.4,117.13,86.7,,,527.04,117.13,77.8,,,tool,Deluxe Tri-Creaser,,60
,TC-DEL-SH/65-FP,DISCONTINUED  -Shoei De-lux Tri-Creaser - 35mm I/D0-65mm O/D,878.4,100,88.6,,,527.04,100,81,,,tool,Deluxe Tri-Creaser,,60
,TC-DEL-SH/55-FP,DISCONTINUED - Shoei De-lux Tri-Creaser - 35mm I/D 55mm O/D,878.4,65.98,92.5,,,527.04,65.98,87.5,,,tool,Deluxe Tri-Creaser,,60
,TC-DEL-MF/30-FP-2,MBO De-lux Tri-Creaser - 30mm I/D with 49.95mm O/D,878.4,76.09,91.3,,,527.04,76.09,85.6,,,tool,Deluxe Tri-Creaser,,60
NEEDS PRICING,TC-DEL-MF/30-FP,OBSELETE  -  Tri-Creaser 30mm MBO,878.4,70,92,,,,70,,,,tool,Deluxe Tri-Creaser,,
NEEDS PRICING,TC-DEL-HO/25-FP,Horizon De-lux Tri-Creaser - 25mm I/D (Binder Crease),878.4,48.98,94.4,,,,48.98,,,,tool,Deluxe Tri-Creaser,,
NEEDS PRICING,TC-DEL-HO/20-FP-USA,20mm Horizon De-lux Tri-Creaser - USA,878.4,12.91,98.5,,,,12.91,,,,tool,Deluxe Tri-Creaser,,
NEEDS PRICING,TC-DEL-HO/20-FP,Horizon De-lux Tri-Creaser - 20mm I/D,878.4,62.2,92.9,,,,62.2,,,,tool,Deluxe Tri-Creaser,,
NEEDS PRICING,TC-DEL-HH/35-FP,OBSELETE,878.4,77.3,91.2,,,,77.3,,,,tool,Deluxe Tri-Creaser,,
,TC-DEL-HH/30-FP,DISCONTINUED - H&H De-lux Tri-Creaser - 30mm I/D,878.4,56.56,93.6,,,527.04,56.56,89.3,,,tool,Deluxe Tri-Creaser,,60
NEEDS PRICING,TC-DEL-GU/35-FP-2,OBSELETE,878.4,90,89.8,,,,90,,,,tool,Deluxe Tri-Creaser,,
,TC-DEL-GU/35-FP,DISCONTINUED -GUK De-lux Tri-Creaser - 35mm I/D & 59.4mm O/D,878.4,90,89.8,,,527.04,90,82.9,,,tool,Deluxe Tri-Creaser,,60
NEEDS PRICING,TC-DEL-DM/30-FP,DISCONTINUED - Dick Moll De-lux Tri-Creaser - 30mm I/D,878.4,70,92,,,,70,,,,tool,Deluxe Tri-Creaser,,
NEEDS PRICING,TC-DEL-BR/35-FP,DISCONTINUED - Bremmer De-lux Tri-Creaser - 40mm I/D,878.4,15.16,98.3,,,,15.16,,,,tool,Deluxe Tri-Creaser,,
,TC-DEL-BO/35-FP,Bonelli De-lux Tri-Creaser - 30mm I/D,878.4,120,86.3,,,527.04,120,77.2,,,tool,Deluxe Tri-Creaser,,60
NEEDS PRICING,TC-DEL-BF/28-FP,OBSELETE  -  Large Baum De-lux Tri-Creaser - 28mm I/D,878.4,63.82,92.7,,,,63.82,,,,tool,Deluxe Tri-Creaser,,
,TC-DEL-BF/22-FP,Small Baum De-lux Tri-Creaser - 22mm I/D,878.4,80.03,90.9,,,527.04,80.03,84.8,,,tool,Deluxe Tri-Creaser,,60
NEEDS PRICING,TC-DEL-BF/22-FIXED,Small Baum De-lux Tri-Creaser - 22mm - FIXED,878.4,100,88.6,,,,100,,,,tool,Deluxe Tri-Creaser,,
,FF-STA-ST/25-FIX-01,Fast Fit 25mm Standard Shortened Version. DISCONTINUED,878.4,49.63,94.3,,,527.04,49.63,90.6,,,tool,Deluxe Tri-Creaser,,60
NEEDS PRICING,TC-DEL-CA/FO-FP-USA,Card Folding Tri-Creaser - USA,1071.6,17,98.4,,,,17,,,,tool,Deluxe Tri-Creaser,,
NEEDS PRICING,EF-PIV/32-FIX,Easy Fit to fit Pivano GT 32mm Exit Shaft,434.5,10.98,97.5,,,,10.98,,,,tool,Easy-Fit Tri-Creaser,,
NEEDS PRICING,EF-ST/25-3CREASE,3 Crease 25mm Special,750,77.49,89.7,,,,77.49,,,,tool,Easy-Fit Tri-Creaser,,
,EF-AG/28-FP,Agor Easy-Fit Digi Creaser,751.67,1.77,99.8,,,451,1.77,99.6,,,tool,Easy-Fit Tri-Creaser,,60
,EF-SM/35-DSF,Tri Creaser Easy Fit 35mm Advance Female Only Pack,997,74.45,92.5,,,598.2,74.45,87.6,,,tool,Easy-Fit Tri-Creaser,,60
,EF-RO/25-DSF,Easy Fit Rollem DSF,997,127.59,87.2,,,598.2,127.59,78.7,,,tool,Easy-Fit Tri-Creaser,,60
,EF-MF/30-DSF,Tri Creaser Easy Fit 30mm Advance Female Only Pack,997,67.37,93.2,,,598.2,67.37,88.7,,,tool,Easy-Fit Tri-Creaser,,60
,TC-DEL-MF/60-FP,Tri-Creaser Easy Fit to fit MBO 60mm shafts,1096.7,92.14,91.6,,,658.02,92.14,86,,,tool,Easy-Fit Tri-Creaser,,60
NEEDS PRICING,TC-DEL-MA/32-FP,Mark Andy De-lux Tri-Creaser,1096.7,85,92.2,,,,85,,,,tool,Easy-Fit Tri-Creaser,,
,TC-DEL-GA/01-FP,"Tri-Creaser Easy Fit to fit Ga-Vehren 25.41mm or 1"" shafts",1096.7,89.98,91.8,,,658.02,89.98,86.3,,,tool,Easy-Fit Tri-Creaser,,60
,TC-DEL-FI/64-FP,Tri-Creaser Easy Fit to fit Fidia 64mm shafts,1096.7,207.47,81.1,,,658.02,207.47,68.5,,,tool,Easy-Fit Tri-Creaser,,60
,TC-DEL-FI/40-FP,Tri-Creaser Easy Fit to fit Fidia 40mm shafts,1096.7,106.58,90.3,,,658.02,106.58,83.8,,,tool,Easy-Fit Tri-Creaser,,60
,QC-03,Tri-Creaser Easy Fit to fit Agor & Multigraf 36mm shafts,1096.7,138.02,87.4,,,658.02,138.02,79,,,tool,Easy-Fit Tri-Creaser,,60
,EF-ST/50-FP,Tri-Creaser Easy Fit to fit Stahl/Heidelberg 50mm shafts,1096.7,100.03,90.9,,,658.02,100.03,84.8,,,tool,Easy-Fit Tri-Creaser,,60
,EF-ST/45-FP,Tri-Creaser Easy Fit to fit Stahl/Heidelberg 45mm shafts,1096.7,293.48,73.2,,,658.02,293.48,55.4,,,tool,Easy-Fit Tri-Creaser,,60
NEEDS PRICING,EF-ST/25-FP-USA,Easy-Fit Tri-Creaser - 25mm - USA,1096.7,9.12,99.2,,,,9.12,,,,tool,Easy-Fit Tri-Creaser,,
,EF-ST/25-FP,Tri-Creaser Easy Fit to fit Stahl/Heidelberg 25mm shafts,1096.7,98.83,91,,,658.02,98.83,85,,,tool,Easy-Fit Tri-Creaser,,60
NEEDS PRICING,EF-ST/20-FP-01,Easy Fit 20mm for Japan containing 1 male component,1096.7,,,,,,,,,,tool,Easy-Fit Tri-Creaser,,
,EF-ST/20-FP,Tri-Creaser Easy Fit to fit Stahl/Heidelberg 20mm shafts,1096.7,90.25,91.8,,,658.02,90.25,86.3,,,tool,Easy-Fit Tri-Creaser,,60
NEEDS PRICING,EF-SM/36-FIX,OBSELETE,1096.7,100,90.9,,,,100,,,,tool,Easy-Fit Tri-Creaser,,
NEEDS PRICING,EF-SM/35-FP-USA,35mm Easy-Fit Tri-Creaser (Floating) - USA,1096.7,11.86,98.9,,,,11.86,,,,tool,Easy-Fit Tri-Creaser,,
