Product Code,Description,Original Sales Price,New Sales Price,Difference,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Last Order Date
TWS-ID/GUK35-4,Waste Stripper - 4mm Width - 35mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,24/06/2009
TWS-ID/GUK35-3,Waste Stripper - 3mm Width - 35mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,19/12/2019
TWS-ID/GUK35-1,Waste Stripper - 1mm Width - 35mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,23/08/2021
TWS-ID/GUK20-5,20mm GUK Waste Stripper - 5mm Thick,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,
TWS-ID/GUK20-4,20mm GUK Waste Stripper - 4mm Thick,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,
TWS-ID/GUK20-3,20mm GUK Waste Stripper - 3mm Thick,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,
TWS-ID/DCM-5,Waste Stripper - 5mm Width - 36mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,26/01/2012
TWS-ID/DCM-4,Waste Stripper - 4mm Width - 36mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,10/05/2007
TWS-ID/DCM-3,Waste Stripper - 3mm Width - 36mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,
TWS-ID/AGOR-5,Agor Waste Stripper 5mm,42,42,0.00,1.5,consumable,Waste-Stripper,96.4,20.3,48.3,20.3,48.3,25.20,60.0,26/01/2012
TWS-ID/AGOR-4,Agor Waste Stripper 4mm,42,42,0.00,1.5,consumable,Waste-Stripper,96.4,20.3,48.3,20.3,48.3,25.20,60.0,
TWS-ID/AGOR-3,Agor Waste Stripper 3mm,42,42,0.00,1.5,consumable,Waste-Stripper,96.4,20.3,48.3,20.3,48.3,25.20,60.0,07/03/2011
TWS-ID/35-4,Waste Stripper - 4mm Width - 35mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,11/11/2025
TWS-ID/35-3,Waste Stripper - 3mm Width - 35mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,09/07/2025
TWS-ID/35,Waste Stripper - 5mm Width - 35mm Inside Diameter,42,42,0.00,6,consumable,Waste-Stripper,85.7,20.3,48.3,20.3,48.3,25.20,60.0,01/05/2025
TWS-ID/25-4,Waste Stripper - 4mm Width - 25mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,20/09/2024
TWS-ID/25-3,Waste Stripper - 3mm Width - 25mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,09/11/2023
TWS-ID/25,Waste Stripper - 5mm Width - 25mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,21/08/2023
TWS-ID-HO/30,DO NOT USE THIS CODE,42,42,0.00,0,consumable,Waste-Stripper,,,,,,,,
TS-STA-ST/25-FP,OBSELETE,656.4,656.4,0.00,42.68,consumable,,93.5,,,,,,,22/07/2008
TS-25-BR,OBSELETE,102,102,0.00,16,consumable,NEGLECTED,84.3,,,,,,,
TRI-WEB-05,Web Spine & Hinge Fixed at 6mm,2996.4,3416.67,420.27,358.68,tool,Web-Tool,88.0,2050,68.4,2341,78.1,2050.00,60.0,20/12/2017
TRI-WEB-04,Muller Web Press Tri-Creaser,1436.4,2106.67,670.27,0,tool,Web-Tool,,1264,88,1264,88.0,1264.00,60.0,
TRI-WEB-03,100mm O/D Web Creaser,1316.4,1696.67,380.27,154.65,tool,Web-Tool,88.3,1018,77.3,1081,82.1,1018.00,60.0,08/08/2014
TRI-WEB-02,Web Tri-Creaser - Double Floating Unit,1316.4,1696.67,380.27,333.82,tool,Web-Tool,74.6,1018,77.3,1081,82.1,1018.00,60.0,15/07/2025
TRI-WEB-01,Web Tri-Creaser - Single Bearing Unit,1316.4,1696.67,380.27,298.45,tool,Web-Tool,77.3,1018,77.3,1081,82.1,1018.00,60.0,29/03/2019
THIN-GB/36-01,36mm Narrow Gripper Boss Support Rollers,102,102,0.00,33.47,tool,Gripper Boss,67.2,,,,,,,23/03/2009
THIN-GB-01,35mm Gripper Boss for Demo Units,0,0,,34.48,consumable,NEGLECTED,,,,,,,,
