product_code,standard_price,show_in_distributor_portal
CSM-FEEDER13,null,FALSE
CSM-DELTRAY,null,FALSE
CSM-DC-PACK,null,FALSE
CSM-DC,null,FALSE
CSM-CP-PACK,null,FALSE
CSM-AF-TS,null,FALSE
CSM-AF-ON/OFF,null,FALSE
CSM-AF-LSW,null,FALSE
CSM-AF-ELBOARD,null,FALSE
CSM-AF-DOGAMO,null,FALSE
CSM-AF-DC/DSF,null,FALSE
CSM-AF-CP/DSF,null,FALSE
CSM-ADAPT24V,null,FALSE
CSM/TOWERSCRE,null,FALSE
CSM/SM59349977,null,FALSE
CSM/SLAY,null,FALSE
CSM/SIDESTOP,null,FALSE
CSM/SBAR,null,FALSE
CSM/RSLAY-ADJ,null,FALSE
CSM/RSLAY-96-41,null,FALSE
CSM/LSLAY-FIXED,null,FALSE
CSM/LSLAY-96-41,null,FALSE
CSM/HANDLE,null,FALSE
CSM/GPBELT,null,FALSE
CSM/ENDSTOP,null,FALSE
CSM/25-MP,null,FALSE
CSM/25-HOLDER,null,FALSE
CSM/25-GB-TOP,null,FALSE
CSM/25-FE-PACK-DSF,null,FALSE
CSM/25-FE-PACK,null,FALSE
CSM/25-FE-HOLD,null,FALSE
CSM/25-DSF-PACK,null,FALSE
CSM/25-CT,null,FALSE
CSM/25-BH-PACK,null,FALSE
CSM/25-BH,null,FALSE
CSJ-US,null,FALSE
CSJ-TOPWASTE,null,FALSE
CSJ-SMOOTHER,null,FALSE
CSJ-PACK,null,FALSE
CSJ/30-HOLDER,null,FALSE
CSJ/30-FE-PACK,null,FALSE
CSJ/30-BH-PACK,null,FALSE
CSJ,null,FALSE
CS-CF-BATCHCOU,null,FALSE
CSCC-SHC-DSF,null,FALSE
CSCC-MP-PACK,null,FALSE
CSCC-MP,null,FALSE
CSCC-FF-DSF,null,FALSE
CSCC-FE-PACK,null,FALSE
CSCC-DSF/SHC-NY-B,null,FALSE
CSCC-CT-PACK,null,FALSE
CSCC-CT,null,FALSE
CSCC-COLLAR-T,null,FALSE
CSCC-COLLAR-B,null,FALSE
CSCC/SIDELAY,null,FALSE
CSCC/20-HOLDER,null,FALSE
CSCC,null,FALSE
CS-CARDFOLDER,null,FALSE
CS-AP-TABLE,null,FALSE
CS-APLUS-PER-ST,null,FALSE
CS-ALLEN-4MM,null,FALSE
CP-NSH/35,null,FALSE
CP-NSH/30-HH,null,FALSE
CP-AP-NSH/35-B,null,FALSE
CP-AP-NSH/25-BLACK,null,FALSE
CP-AP-FL-GH/35,null,FALSE
CP-AP-FL-BH/35,null,FALSE
COLLAR-QC-PA,null,FALSE
COLLAR-FF-SMY,null,FALSE
COLLAR-FF-SH/55,null,FALSE
COLLAR-FF-RS,null,FALSE
COLLAR-FF-ROS,null,FALSE
COLLAR-FF-RO,null,FALSE
COLLAR-FF-HH/35,null,FALSE
COLLAR-FF-GUK/35,null,FALSE
COLLAR-FF-DM,null,FALSE
COLLAR-FF-35,null,FALSE
COLLAR-FF-30,null,FALSE
COLLAR-FF-25,null,FALSE
COLLAR-EF-GUK-35,null,FALSE
COLLAR-EF-35,null,FALSE
COLLAR-EF-25,null,FALSE
CD-SP-HO/20-FP-USA-02,null,FALSE
CD-SP-HO/20-FP-USA,null,FALSE
8MMX8-SCREWS,null,FALSE
790-SS,null,FALSE
693-FF,null,FALSE
624-SS,null,FALSE
4MM-L-WRE,null,FALSE
3MMX10MM-SCREW,null,FALSE
UCHIDA-29/01,2290,TRUE
TWS-ID/MBO-40.5,20.3,TRUE
TWS-ID/MBO-40.4,20.3,TRUE
TWS-ID/MBO-40.3,20.3,TRUE
TWS-ID/MBO-35-5,20.3,TRUE
TWS-ID/MBO-35-3,20.3,TRUE
TWS-ID/MBO-35.5,20.3,TRUE
TWS-ID/MBO-35.3,20.3,TRUE
TWS-ID/MBO30-5,20.3,TRUE
TWS-ID/MBO30-4,20.3,TRUE
TWS-ID/MBO30-3,20.3,TRUE
TWS-ID/MBO-30.5-SHORT,20.3,TRUE
TWS-ID/MB-5,20.3,TRUE
TWS-ID/MB-4,20.3,TRUE
TWS-ID/MB-3,20.3,TRUE
TWS-ID/HO30.5,20.3,TRUE
TWS-ID/HO20-5,20.3,TRUE
TWS-ID/HO20-4,20.3,TRUE
TWS-ID/HO20-3,20.3,TRUE
TWS-ID/HH45.3,20.3,TRUE
TWS-ID/HH30.5,20.3,TRUE
TWS-ID/HH30.4,20.3,TRUE
TWS-ID/HH30.3,20.3,TRUE
TWS-ID/GUK35-CREASER-5,20.3,TRUE
TWS-ID/GUK35-CREASER-3,20.3,TRUE
TWS-ID/GUK35-5,20.3,TRUE
