Product Code,Description,Type,Category,Old Customer Price (£),New Customer Price (£),Price Change (£),Price Change (%)
SC-DSF/HOR-25-NY-Y,Spine-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
MOULD-10,Black Gripper Band / Blade Seal,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-148,Blue Edge-Trimming Gripper Band Shoei - 65mm,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-149,Blue Edge-Trimming Gripper Band Shoei - 55mm,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-15,Black Gripper Band,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-175,Black Gripper Band,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-40,Blue Edge-Trimming Gripper Band - 35mm,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-47,Black Gripper Band,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-51,Black Gripper Band,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-55,Black Gripper Band,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-59,Black Gripper Band,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-61,Blue Edge-Trimming Gripper Band - 25mm,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-62,Blue Edge-Trimming Gripper Band - 30mm,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-63,Blue Edge-Trimming Gripper Band - 20mm,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-76,Black Gripper Band,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-80,Black Gripper Band,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-83,Blue Edge-Trimming Gripper Band H&H - 30mm,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-88,Black Gripper Band,consumable,Gripper Band,19.00,21.00,2.00,10.5
MOULD-88BL,Blue Gripper Band,consumable,Gripper Band,19.00,21.00,2.00,10.5
MPB-10/25MM,10 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-12,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-12-GUK,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-12-HH/30,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-12/25MM,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-12/30MM,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-12/4SHEET,12 tpi Micro-Perforation Blade with extra tie depth,consumable,Micro-Perforation Blade,65.00,99.00,34.00,52.3
MPB-12/BF/22MM,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-12/MF-40,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-12/RO,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17-GUK,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17-HH/30MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17/25MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17/30MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17/46MM,Micro-Perf Blade - 17 TPI - 46mm I/D,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17/4SHEET,17 tpi Micro-Perforation Blade with extra tie depth,consumable,Micro-Perforation Blade,65.00,99.00,34.00,52.3
MPB-17/50MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,73.00,99.00,26.00,35.6
MPB-17/BF/22MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17/BF/28MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17/MF-40,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17/RO,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17/SH-55,Micro-Perf Blade - 17 TPI - Shoei 55mm,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17/SH-65,Micro Perf Blade - 17 TPI - Shoei 65mm,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-17/WEB,Micro-Perf Blade for Web Perforator 17TPI,consumable,Micro-Perforation Blade,174.00,99.00,-75.00,-43.1
MPB-25,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25-GUK,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25-HH/30MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25/25MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25/30MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25/46MM,Micro-Perf Blade - 25 TPI - 46mm I/D,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25/4SHEET,25 tpi Micro-Perforation Blade with extra tie depth,consumable,Micro-Perforation Blade,65.00,99.00,34.00,52.3
MPB-25/50MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,73.00,99.00,26.00,35.6
MPB-25/BF/22MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25/BF/28MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25/MF-40,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25/MO,25 tpi Split Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25/RO,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25/SH-55,Micro-Perf Blade - 25 TPI - Shoei 55mm,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25/SH-65,Micro-Perf Blade - 25 TPI - Shoei 65mm,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-25/WEB,Micro-Perf Blades for Web Perforator 25TPI,consumable,Micro-Perforation Blade,174.00,99.00,-75.00,-43.1
MPB-26,Micro-Perf Blade 26TPI -35mm,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-40,40 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-40/30MM,40 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-40/4SHEET,40 tpi Micro-Perforation Blade with extra tie depth,consumable,Micro-Perforation Blade,65.00,99.00,34.00,52.3
MPB-40/WEB,Micro-Perf Blades for Web Perforator 40TPI,consumable,Micro-Perforation Blade,174.00,99.00,-75.00,-43.1
MPB-52,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-52-GUK,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-52-HH/30MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-52/25MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-52/30MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-52/46MM,Micro-Perf Blade - 52 TPI - 46mm I/D,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
