Product Code,Description,Type,Category,,Old Sales Price,New Sales Price,Difference,Percentage Difference, ,  ,Old Distributor Price,New Distributor Price,Difference ,Percentage Difference 
MPB-52/46MM,Micro-Perf Blade - 52 TPI - 46mm I/D,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-52/30MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-52/25MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-52-HH/30MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-52-GUK,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-52,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-40/4SHEET,40 tpi Micro-Perforation Blade with extra tie depth,consumable,Micro-Perforation Blade,,65,99,34,52.3,,,32,59.4,27.4,85.6
MPB-40/30MM,40 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-40,40 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-26,Micro-Perf Blade 26TPI -35mm,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25/SH-65,Micro-Perf Blade - 25 TPI - Shoei 65mm,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25/SH-55,Micro-Perf Blade - 25 TPI - Shoei 55mm,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25/RO,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25/MO,25 tpi Split Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25/MF-40,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25/BF/28MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25/BF/22MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25/4SHEET,25 tpi Micro-Perforation Blade with extra tie depth,consumable,Micro-Perforation Blade,,65,99,34,52.3,,,32,59.4,27.4,85.6
MPB-25/46MM,Micro-Perf Blade - 25 TPI - 46mm I/D,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25/30MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25/25MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25-HH/30MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25-GUK,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-25,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-17/SH-65,Micro Perf Blade - 17 TPI - Shoei 65mm,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-17/RO,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-17/MF-40,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-17/BF/28MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
