product_code,standard_price
MT-04/PERF-OPTION-1,498.00
MT-BF/28/PERF-OPTION-1,498.00
MT-GUK/35/PERF-OPTION-1,498.00
MT-HH/30/PERF-OPTION-1,498.00
MT-HH/35/PERF-OPTION-1,498.00
MT-HO/PERF-OPTION-1,498.00
MT-MB/PERF-OPTION-1,498.00
MT-SH/55/PERF-OPTION-1,498.00
MT-SH/65/PERF-OPTION-1,498.00
TC-DEL-ST/50-FP,488.00
EF-HO/20-DSF,486.00
EF-MF/30-DSF,486.00
EF-RO/25-DSF,486.00
EF-SM/35-DSF,486.00
EF-ST/25-DSF,486.00
FF-GU/35-DSF,486.00
FF-HH/35-DSF,486.00
FF-HO/20-DSF,486.00
FF-MF/30-DSF,486.00
FF-RO/25-DSF,486.00
FF-ROS/25-DSF,486.00
FF-SM/35-DSF,486.00
FF-ST/25-DSF,486.00
MT-HH/45/CUTTING-OPTION-2,472.00
EF-AG/28-FP,451.00
FF-GW-FP-01-B,451.00
FF-HH/20-FIX,451.00
FF-SH/15-FP-01-B,451.00
PD-DEL-BF-22-FP,451.00
PD-DEL-BF-28-FP,451.00
PD-DEL-DM/30-FP,451.00
PD-DEL-GU/35-FP,451.00
PD-DEL-HH/30-FP,451.00
PD-DEL-HH/35-FP,451.00
PD-DEL-HO/20-FP,451.00
PD-DEL-MB/20-FP,451.00
PD-DEL-MF/30-FP,451.00
PD-DEL-MF/40-FP,451.00
PD-DEL-PET/40-FP,451.00
PD-DEL-QC/36-FP,451.00
PD-DEL-RO/20-FP,451.00
PD-DEL-ROS-BA/25-FP,451.00
PD-DEL-SM/35-FP,451.00
PD-DEL-ST/25-FP,451.00
PD-MU/BR-FP,451.00
MT-01/CUTTING-OPTION-2,450.00
MT-02/CUTTING-OPTION-2,450.00
MT-03/CUTTING-OPTION-2,450.00
MT-04/CUTTING-OPTION-2,450.00
MT-BF/28/CUTTING-OPTION-2,450.00
MT-GUK/35/CUTTING-OPTION-2,450.00
MT-HH/30/CUTTING-OPTION-2,450.00
MT-HH/35/CUTTING-OPTION-2,450.00
MT-HH/40-CUTTING-OPTION2,450.00
MT-HO/CUTTING-OPTION-2,450.00
MT-MB/CUTTING-OPTION-2,450.00
MT-MF/40CUTTING-OPT2,450.00
MT-SH/55/CUTTING-OPTION-2,450.00
MT-SH/65/CUTTING-OPTION-2,450.00
MT-CR/25-CAS-01,432.00
MT-CR/30-CAS,432.00
MT-CR/30-CAS-01,432.00
MT-CR/35-CAS-01,432.00
MT-CR/35-CAS-FIX,432.00
MT-CR/35-CAS-FIX-01,432.00
