Product Code,Description,Type,Category,Gina Old Distributor Price (£),New Distributor Price (£),Price Change (£),Price Change (%)
CK-MB-O1,Cutting Knife - 43.5mm Outer Diameter,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-MF/40-01,Cutting Knife - 62.5mm Outer Diameter,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-MF/40-03,Long Cutting Knife - 64mm Outer Diameter,consumable,Cutting Knife,32.00,59.40,27.40,85.6
CK-SH/55-01,Cutting Knife - 59.5mm Outer Diameter,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-SH/55-02,Long Cutting Knife - 61mm Outer Diameter,consumable,Cutting Knife,32.00,59.40,27.40,85.6
CK-SH/65-01,Cutting Knife - 69.5mm Outer Diameter,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-SH/65-02,Long Cutting Knife - 71mm Outer Diameter,consumable,Cutting Knife,32.00,59.40,27.40,85.6
FF-DSF/20-MB-NY-B,MB 20mm Double Sore Female Creasing Ring. Blue,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/20-MB-NY-R,MB 20mm Double Score Female Creasing Ring. Red,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/20-MB-NY-W,MB 20mm Double Score Female Narrow Creasing Ring. White,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/20-MB-NY-Y,MB 20mm Double Score Female Creasing Ring. Yellow,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/25-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/25-NY-BK,Tri-Creaser Advance Black Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/25-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/25-NY-W,Tri-Creaser Advance White Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/25-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/30-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/30-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/30-NY-W,Tri-Creaser Advance White Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/30-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/35-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/35-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/35-NY-W,Tri-Creaser Advance White Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/35-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/GU-35-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/GU-35-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/GU-35-NY-W,Tri-Creaser Advance White Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/GU-35-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/HH-35-NY,Tri-Creaser Advance Black Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/HH-35-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/HH-35-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/HH-35-NY-W,Tri-Creaser Advance White Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/HH-35-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/HO-20-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/HO-20-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/HO-20-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/PET-40-NY-B,Petratto 40mm Double Score Female Creasing Ring .Blue,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/PET-40-NY-R,Petratto 40mm Double Score Female Creasing Ring. Red,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/PET-40-NY-Y,Petratto 40mm Double Score Female Creasing Ring  Yellow,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/RO-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/RO-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/RO-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/ROS-NY-B,Tri Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/ROS-NY-O,Tri Creaser Advance Orange Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
FF-DSF/ROS-NY-Y,Tri Creaser Advance Yellow Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
RS-NY/FE,Tri-Creaser Advance Black Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
RS-NY/FE-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
RS-NY/FE-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
RS-NY/FE-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
SC-DSF/HOR-25-NY-B,Spine-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
SC-DSF/HOR-25-NY-R,Spine-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
SC-DSF/HOR-25-NY-Y,Spine-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,27.81,27.81,0.00,0.0
MOULD-10,Black Gripper Band / Blade Seal,consumable,Gripper Band,7.58,12.60,5.02,66.2
MOULD-148,Blue Edge-Trimming Gripper Band Shoei - 65mm,consumable,Gripper Band,8.50,12.60,4.10,48.2
MOULD-149,Blue Edge-Trimming Gripper Band Shoei - 55mm,consumable,Gripper Band,8.50,12.60,4.10,48.2
MOULD-15,Black Gripper Band,consumable,Gripper Band,7.58,12.60,5.02,66.2
MOULD-175,Black Gripper Band,consumable,Gripper Band,7.58,12.60,5.02,66.2
MOULD-40,Blue Edge-Trimming Gripper Band - 35mm,consumable,Gripper Band,8.50,12.60,4.10,48.2
MOULD-47,Black Gripper Band,consumable,Gripper Band,7.58,12.60,5.02,66.2
MOULD-51,Black Gripper Band,consumable,Gripper Band,7.58,12.60,5.02,66.2
MOULD-55,Black Gripper Band,consumable,Gripper Band,7.58,12.60,5.02,66.2
MOULD-59,Black Gripper Band,consumable,Gripper Band,7.58,12.60,5.02,66.2
MOULD-61,Blue Edge-Trimming Gripper Band - 25mm,consumable,Gripper Band,8.50,12.60,4.10,48.2
MOULD-62,Blue Edge-Trimming Gripper Band - 30mm,consumable,Gripper Band,8.50,12.60,4.10,48.2
MOULD-63,Blue Edge-Trimming Gripper Band - 20mm,consumable,Gripper Band,8.50,12.60,4.10,48.2
MOULD-76,Black Gripper Band,consumable,Gripper Band,7.58,12.60,5.02,66.2
MOULD-80,Black Gripper Band,consumable,Gripper Band,7.58,12.60,5.02,66.2
MOULD-83,Blue Edge-Trimming Gripper Band H&H - 30mm,consumable,Gripper Band,8.50,12.60,4.10,48.2
MOULD-88,Black Gripper Band,consumable,Gripper Band,9.72,12.60,2.88,29.6
MOULD-88BL,Blue Gripper Band,consumable,Gripper Band,9.72,12.60,2.88,29.6
MPB-10/25MM,10 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-12,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-12-GUK,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-12-HH/30,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-12/25MM,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-12/30MM,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-12/4SHEET,12 tpi Micro-Perforation Blade with extra tie depth,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-12/BF/22MM,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-12/MF-40,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-12/RO,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17-GUK,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17-HH/30MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17/25MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17/30MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17/46MM,Micro-Perf Blade - 17 TPI - 46mm I/D,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17/4SHEET,17 tpi Micro-Perforation Blade with extra tie depth,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17/50MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,39.00,59.40,20.40,52.3
