Product Code,Description,Sales Price,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Price Difference,Last Order Date
MOULD-130,Quad-Creaser Yellow Split Creasing Rib,19,2.73,consumable,Rubber Creasing Band,85.6,9.85,51.8,9.85,51.8,11.40,60.0,1.55,12/12/2025
MOULD-13,White Dot Insert - for 35/36mm Shaft,15,1.15,consumable,Rubber Creasing Band,92.3,5.93,39.5,5.93,39.5,9.00,60.0,3.07,22/12/2025
MOULD-129,Quad-Creaser Blue Split Creasing Rib,19,2.65,consumable,Rubber Creasing Band,86.1,9.85,51.8,9.85,51.8,11.40,60.0,1.55,03/10/2025
MOULD-128,Quad-Creaser Orange Split Creasing Rib,19,2.73,consumable,Rubber Creasing Band,85.6,9.85,51.8,9.85,51.8,11.40,60.0,1.55,22/11/2024
MOULD-127X,Tri-Creaser Fast Fit Orange Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,24/03/2025
MOULD-127SB,Tri-Creaser Fast Fit Orange Split Gripper Crease,23,1.58,consumable,Rubber Creasing Band,93.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,15/10/2025
MOULD-127PI,Tri-Creaser Fast Fit Orange Split Gripper Crease,23,1.5,consumable,Rubber Creasing Band,93.5,9.85,42.8,9.85,42.8,13.80,60.0,3.95,21/12/2018
MOULD-127B-SX,Tri-Creaser Fast Fit Orange Endura Split Gripper Crease,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,26/03/2025
MOULD-127B-SB,Tri-Creaser Fast Fit Red Endura Split Gripper Crease,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,04/07/2025
MOULD-127B-PI,Tri-Creaser Fast Fit Orange Endura Split Gripper Crease,26,0,consumable,Rubber Creasing Band,,11.23,43.2,11.23,43.2,15.60,60.0,4.37,08/01/2015
MOULD-127B,Tri-Creaser Fast Fit Red Endura Split Gripper Crease with,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,
MOULD-127,Tri-Creaser Fast Fit Orange Split Gripper Crease with lugs,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,19/09/2024
MOULD-126X,Tri-Creaser Fast Fit Blue Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,24/03/2025
MOULD-126SB,Tri-Creaser Fast Fit Blue Split Gripper Crease,23,1.58,consumable,Rubber Creasing Band,93.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,15/10/2025
MOULD-126PI,Tri-Creaser Fast Fit Blue Split Gripper Crease,23,2.73,consumable,Rubber Creasing Band,88.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,21/12/2018
MOULD-126B-SX,Tri-Creaser Fast Fit Blue Endura Split Gripper Crease,26,2.59,consumable,Rubber Creasing Band,90.0,11.23,43.2,11.23,43.2,15.60,60.0,4.37,26/03/2025
MOULD-126B-SB,Tri-Creaser Fast Fit Blue Endura Split Gripper Crease,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,04/07/2025
MOULD-126B-PI,Tri-Creaser Fast Fit Blue Endura Split Gripper Crease,26,2.59,consumable,Rubber Creasing Band,90.0,11.23,43.2,11.23,43.2,15.60,60.0,4.37,08/01/2015
MOULD-126B,Tri-Creaser Fast Fit Blue Endura Split Gripper Crease with l,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,
MOULD-126,Tri-Creaser Fast Fit Blue Split Gripper Crease with lugs,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,04/06/2025
MOULD-125X,Tri-Creaser Fast Fit Yellow Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,24/03/2025
MOULD-125SB,Tri-Creaser Fast Fit Yellow Split Gripper Crease,23,1.58,consumable,Rubber Creasing Band,93.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,
MOULD-125PI,Tri-Creaser Fast Fit Yellow Split Gripper Crease,23,1.5,consumable,Rubber Creasing Band,93.5,9.85,42.8,9.85,42.8,13.80,60.0,3.95,21/12/2018
MOULD-125B-SX,Tri-Creaser Fast Fit Yellow Endura Split Gripper Crease,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,26/03/2025
MOULD-125B-SB,Tri-Creaser Fast Fit Yellow Endura Split Gripper Crease,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,08/05/2025
MOULD-125B-PI,Tri-Creaser Fast Fit Yellow Endura Split Gripper Crease,26,0,consumable,Rubber Creasing Band,,11.23,43.2,11.23,43.2,15.60,60.0,4.37,08/01/2015
MOULD-125B,Tri-Creaser Fast Fit Yellow Endura Split Gripper Crease with,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,
MOULD-125,Tri-Creaser Fast Fit Yellow Split Gripper Crease with lugs,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,02/07/2021
MOULD-124BSX,Tri-Creaser Fast Fit Orange Endura Split Gripper Crease,26,2.23,consumable,Rubber Creasing Band,91.4,11.23,43.2,11.23,43.2,15.60,60.0,4.37,18/01/2017
MOULD-124-SX,Tri-Creaser Fast Fit Orange Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,28/01/2026
MOULD-124,Tri-Creaser Fast Fit Orange Split Gripper Crease with lugs,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,23/05/2024
