product_code,standard_price,show_in_distributor_portal
FF-DSF/HH-35-NY,27.81,TRUE
RS-NY/FE,27.81,TRUE
FF-DSF/HO-20-NY-B,27.81,TRUE
FF-DSF/25-NY-B,27.81,TRUE
FF-DSF/GU-35-NY-B,27.81,TRUE
FF-DSF/35-NY-B,27.81,TRUE
FF-DSF/RO-NY-B,27.81,TRUE
FF-DSF/30-NY-B,27.81,TRUE
RS-NY/FE-B,27.81,TRUE
FF-DSF/HH-35-NY-B,27.81,TRUE
FF-DSF/30-NY-R,27.81,TRUE
FF-DSF/35-NY-R,27.81,TRUE
FF-DSF/HO-20-NY-R,27.81,TRUE
FF-DSF/RO-NY-R,27.81,TRUE
FF-DSF/25-NY-R,27.81,TRUE
RS-NY/FE-R,27.81,TRUE
FF-DSF/HH-35-NY-R,27.81,TRUE
FF-DSF/GU-35-NY-R,27.81,TRUE
FF-DSF/HH-35-NY-W,27.81,TRUE
FF-DSF/25-NY-W,27.81,TRUE
FF-DSF/30-NY-W,27.81,TRUE
FF-DSF/GU-35-NY-W,27.81,TRUE
FF-DSF/35-NY-W,27.81,TRUE
FF-DSF/RO-NY-Y,27.81,TRUE
FF-DSF/35-NY-Y,27.81,TRUE
FF-DSF/HO-20-NY-Y,27.81,TRUE
FF-DSF/30-NY-Y,27.81,TRUE
FF-DSF/GU-35-NY-Y,27.81,TRUE
FF-DSF/HH-35-NY-Y,27.81,TRUE
FF-DSF/25-NY-Y,27.81,TRUE
RS-NY/FE-Y,27.81,TRUE
GRIP-WHITE-01,11,TRUE
MOULD-15,11,TRUE
MOULD-76,11,TRUE
MOULD-51,11,TRUE
MOULD-175,11,TRUE
MOULD-80,11,TRUE
MOULD-55,11,TRUE
MOULD-47,11,TRUE
MOULD-59,11,TRUE
MOULD-88,11,TRUE
MOULD-10,11,TRUE
MOULD-63,11,TRUE
MOULD-61,11,TRUE
MOULD-62,11,TRUE
MOULD-40,11,TRUE
MOULD-83,11,TRUE
MOULD-149,11,TRUE
MOULD-148,11,TRUE
MOULD-88BL,11,TRUE
GRIP-003,null,TRUE
CSCC,null,TRUE
CSM/GPBELT,null,TRUE
MPB-10/25MM,50,TRUE
MPB-12/CSP,50,TRUE
MPB-12,50,TRUE
MPB-12-GUK,50,TRUE
MPB-12/BF/22MM,50,TRUE
MPB-12/RO,50,TRUE
MPB-12-HH/30,50,TRUE
MPB-12/25MM,50,TRUE
MPB-12/30MM,50,TRUE
MPB-12/MF-40,50,TRUE
JV-PERF-001,50,TRUE
JV-PERF-004,50,TRUE
JV-PERF-007,50,TRUE
JV-PERF-008,50,TRUE
JV-PERF-002,50,TRUE
JV-PERF-005,50,TRUE
MPB-17/CSP,50,TRUE
MPB-17/50MM,50,TRUE
MPB-MB-17,50,TRUE
MPB-ROS-BA-17,50,TRUE
MPB-17/RO,50,TRUE
MPB-17/BF/22MM,50,TRUE
MPB-17,50,TRUE
MPB-17-HH/30MM,50,TRUE
MPB-17/25MM,50,TRUE
MPB-17/30MM,50,TRUE
MPB-17/MF-40,50,TRUE
MPB-17/BF/28MM,50,TRUE
MPB-17-GUK,50,TRUE
MPB-17/4SHEET,50,TRUE
JV-PERF-009,50,TRUE
JV-PERF-003,50,TRUE
JV-PERF-006,50,TRUE
MPB-ROS-BA-25,50,TRUE
MPB-25/BF/22MM,50,TRUE
MPB-25/RO,50,TRUE
MPB-25,50,TRUE
MPB-25/25MM,50,TRUE
MPB-25/30MM,50,TRUE
MPB-MB-25,50,TRUE
MPB-25/BF/28MM,50,TRUE
MPB-25-GUK,50,TRUE
MPB-25-HH/30MM,50,TRUE
MPB-25/50MM,50,TRUE
MPB-25/MF-40,50,TRUE
MPB-25/4SHEET,50,TRUE
MPB-25/MO,50,TRUE
MPB-40/30MM,50,TRUE
MPB-40,50,TRUE
MPB-40/4SHEET,50,TRUE
MPB-30-HOR,50,TRUE
MPB-36-HOR,50,TRUE
MPB-16-HOR,50,TRUE
MPB-6-HOR,50,TRUE
MPB-8-HOR,50,TRUE
MPB-4Z,42.9,FALSE
MPB-4K,35,FALSE
MPB-3Z,42.9,FALSE
MPB-3K,35,FALSE
MPB-2Z,42.9,FALSE
MPB-2K,35,FALSE
MPB-1.5Z,42.9,FALSE
MPB-1.5K,35,FALSE
MPB-52/25MM,50,TRUE
MPB-ROS-BA-52,50,TRUE
MPB-52/50MM,50,TRUE
MPB-52/MF-40,50,TRUE
MPB-MB-52,50,TRUE
MPB-52/BF/28MM,50,TRUE
MPB-52-HH/30MM,50,TRUE
MPB-52-GUK,50,TRUE
MPB-52,50,TRUE
