product_code,cost_price,,
EF-PC/30-Y,11.10,,
EF-PC/35-B,11.14,,
EF-PC/35-R,11.10,,
EF-PC/35-Y,11.10,,
EF-RO/20-REV,195.51,,
EF-ROS/25-FP,102.20,,
EF-SAMC-FP,12.36,,
EF-SH/35-FP,100.52,,
EF-ST/20-FP,90.25,,
EF-ST/25-FP,98.83,,
EF-ST/50-FP,100.03,,
EP00001158,2.55,,
EP00001284,14.40,,
EP00002414,3.59,,
EP00003691,8.32,,
EP00003693,8.17,,
EP00004725/1,6.18,,
EP00004726/1,7.72,,
EP00004727/1,7.48,,
EP000265,11.49,,
EP000874,11.02,,
EP000954,2.77,,
EP001042,8.58,,
EP001052,6.11,,
EP9298,2.80,,
EP9300,2.08,,
EP9370,3.41,,
EP9569,7.71,,
FEMALE-25,25.50,,
FEMALE-35-FIX,33.08,,
FEMALE-35-FIX-V,0.70,,
FEMALE-35/OB,84.44,,
FEMALE-BF22-FIX,48.47,,
FEMALE-GUK-35,42.16,,
FEMALE-GUK-59.4/OB,50.63,,
FEMALE-HO/50,20.41,,
FEMALE-MB-20-FIX/OC,1.70,,
FEMALE-MB20-FIX,35.00,,
FF-36-FP,229.03,,
FF-BF/22-FP-01,130.08,,
FF-BS/20-FIX-01,28.66,,
FF-DM-FIX-01,130.60,,
FF-DSF/20-MB-NY-B,8.08,,
FF-DSF/20-MB-NY-R,9.01,,
FF-DSF/20-MB-NY-W,7.54,,
FF-DSF/20-MB-NY-Y,9.31,,
FF-DSF/25-NY-B,8.20,,
FF-DSF/25-NY-BK,7.84,,
FF-DSF/25-NY-W,7.63,,
FF-DSF/30-NY-B,9.49,,
FF-DSF/30-NY-R,9.54,,
FF-DSF/30-NY-W,14.91,,
FF-DSF/35-NY-B,9.49,,
FF-DSF/35-NY-R,9.58,,
FF-DSF/35-NY-W,8.72,,
FF-DSF/35-NY-Y,9.53,,
FF-DSF/GU-35-NY-B,7.64,,
FF-DSF/GU-35-NY-R,8.04,,
FF-DSF/GU-35-NY-W,7.57,,
FF-DSF/GU-35-NY-Y,8.20,,
FF-DSF/HH-35-NY,4.73,,
FF-DSF/HH-35-NY-B,4.65,,
FF-DSF/HH-35-NY-R,4.66,,
FF-DSF/HH-35-NY-W,8.48,,
FF-DSF/HH-35-NY-Y,4.57,,
FF-DSF/HO-20-NY-B,8.13,,
FF-DSF/HO-20-NY-R,8.19,,
FF-DSF/HO-20-NY-Y,8.13,,
FF-DSF/PET-40-NY-B,13.73,,
FF-DSF/PET-40-NY-R,8.48,,
FF-DSF/PET-40-NY-Y,15.43,,
FF-DSF/RO-NY-B,6.65,,
